pris_idx,vac_idx,energy,vac_type,formation_energy
481,7,-1367.3901,Cr,-1.9414960000001429
1290,8,-988.1908,O,-1.8253604499999485
1355,2,-672.98521,Pd,-1.6520362000001114
607,1,-1064.0227,Zr,-1.6507025000000797
1198,2,-751.98547,Pd,-1.5991361999999754
1302,1,-248.30871,Sr,-1.5638778999999945
442,2,-887.48256,Te,-1.537850333333381
98,2,-754.2382,Sn,-1.4687105499999689
479,1,-1366.0752,V,-1.454212799999823
479,4,-1366.062,V,-1.4410127999997258
84,3,-972.84051,O,-1.4041504499999746
112,1,-737.11087,B,-1.389943416666597
1199,2,-689.18453,Te,-1.3781203333332996
482,3,-1362.0389,V,-1.3767127999999502
479,6,-1365.1002,Cr,-1.352096000000074
564,2,-945.74469,Sn,-1.3399605500000007
1290,10,-987.65077,O,-1.2853304499999467
406,3,-452.32833,Cd,-1.2088526000000002
81,3,-778.61816,O,-1.170520449999913
206,2,-724.2358,Pd,-1.0587862000000996
93,2,-732.04417,Sb,-1.0508027000000766
819,1,-840.8658,Li,-1.0507665666666526
80,1,-1004.9012,Al,-1.019946300000015
635,3,-455.37526,O,-0.949290450000035
479,7,-1364.6394,Cr,-0.8912960000000112
686,2,-792.96074,Rh,-0.868449499999997
481,3,-1367.1848,V,-0.8633127999999033
459,2,-918.11889,Co,-0.8415615499999376
481,5,-1366.2313,Cr,-0.7826959999999872
481,2,-1367.1022,V,-0.7807127999999466
482,5,-1360.5683,Cr,-0.7789960000000065
1233,2,-873.05568,Pd,-0.7751562000000831
786,3,-459.52379,O,-0.748610450000001
645,1,-1302.7832,Cu,-0.7388175000000956
480,4,-1364.9745,V,-0.7153127999999924
715,2,-462.93069,Cl,-0.7121778499999891
482,2,-1361.3727,V,-0.7105127999998331
480,2,-1364.9603,V,-0.7011127999999189
555,2,-916.78205,Sb,-0.6318427000001066
481,8,-1366.0795,Cr,-0.6308960000001207
480,6,-1363.9245,Cr,-0.5381960000001982
406,4,-451.65505,Cd,-0.5355726000000232
289,5,-1014.7292,O,-0.5284804499999609
206,3,-727.59465,O,-0.5090704499999674
482,8,-1360.287,Cr,-0.4976960000001327
707,2,-694.70692,Te,-0.4365803333332678
480,7,-1363.7522,Cr,-0.3658960000000206
367,3,-769.1446,O,-0.3634504499999593
373,2,-777.14581,Cu,-0.3224074999999402
505,2,-834.3232,Zn,-0.2956837000000405
1158,2,-312.44298,I,-0.2880660000000148
94,1,-755.00638,Al,-0.2854963000000907
819,3,-840.27908,O,-0.2852004499999339
1119,2,-1094.2256,Fe,-0.2650251000000025
95,1,-911.04361,Al,-0.2604162999999744
367,2,-766.58159,Sn,-0.1806005500000083
564,1,-942.03303,Y,-0.1452766666667457
606,1,-1101.5928,Zr,-0.1164025000000492
709,2,-759.21287,Pd,-0.0955761999999822
132,3,-818.2038,O,-0.0666204499999594
479,2,-1364.6584,V,-0.0374127999998563
289,3,-1014.2334,O,-0.0326804499999298
184,4,-536.6983,O,-0.0210804499999994
899,1,-984.87171,Mg,-0.0095143000000916
193,3,-478.4559,O,0.032699550000018
566,1,-1160.1352,Y,0.0372833333333346
661,2,-1498.4655,Cu,0.0668825000000197
479,3,-1364.4875,V,0.1334872000002178
289,4,-1014.0442,O,0.1565195499999845
672,3,-810.47246,Te,0.1740696666666963
622,3,-344.94092,O,0.2426795499999912
661,1,-1498.286,Cu,0.2463824999999815
362,1,-764.58132,Co,0.2834584500000119
729,1,-874.84338,In,0.34936063333339
26,2,-775.81606,Ag,0.4197086666666791
480,5,-1362.9603,Cr,0.4260039999999208
482,1,-1360.2332,V,0.4289872000001651
481,1,-1365.8919,V,0.4295872000000145
481,4,-1365.8717,V,0.4497872000001734
546,2,-1160.4535,Mo,0.4606409999998959
510,2,-847.17813,Ag,0.4704186666666601
1348,2,-958.1443,Sn,0.4752394500000036
1219,2,-850.67534,Pd,0.4835137999999688
1228,2,-824.53452,Ag,0.4890186666666523
609,2,-954.75678,Be,0.4917954999999665
662,1,-999.8134,Cu,0.4927824999999757
371,2,-699.32786,Te,0.5055896666666513
496,19,-779.15019,O,0.5080195500000855
662,2,-999.79616,Cu,0.5100224999999909
877,2,-735.89649,Co,0.5147984499999438
306,1,-1008.1602,Ca,0.5159886999999799
480,1,-1363.7299,V,0.5292871999999988
1336,1,-1005.6788,Sr,0.533702099999914
21,1,-891.08004,Ag,0.5503286666667009
672,2,-810.09198,Te,0.5545496666666168
232,2,-823.74439,Co,0.5631584500000599
49,1,-744.17256,Al,0.5696837000000414
27,1,-492.14736,Ag,0.5819986666666637
363,2,-771.39931,Sb,0.6244272999999794
211,1,-613.93837,Br,0.6399574250000342
5,1,-699.38587,Ag,0.6551486666667188
482,4,-1359.9926,V,0.6695872000000236
333,1,-790.38285,Cd,0.6821374000001015
646,1,-657.64417,Cu,0.7171624999999722
20,1,-1003.0344,Ag,0.7229486666666389
717,1,-620.3767,I,0.7241239999999607
387,1,-1035.5483,Cr,0.7326040000000376
386,2,-871.90714,Rh,0.7633704999999509
22,1,-890.96348,Ag,0.7903786666666974
1117,2,-1220.7391,Ag,0.7930486666666638
419,2,-862.2607,Cu,0.7994525000000294
22,2,-890.95277,Ag,0.8010886666667147
10,1,-644.54413,Ag,0.8023886666667295
108,2,-766.68225,Pd,0.8055838000000222
728,1,-746.92364,In,0.8147806333333847
663,1,-1125.2124,Cu,0.8226825000001554
30,3,-1330.8448,Ag,0.8402486666666391
1030,5,-629.32398,Br,0.8545374249999895
544,2,-1450.88,Mo,0.8651409999997668
23,1,-664.25465,Ag,0.869158666666749
367,1,-764.97503,Co,0.887488449999978
1290,1,-985.48847,Sr,0.9077520999999252
452,2,-1566.7077,Ag,0.9080486666666728
1202,1,-872.76103,Sc,0.9121600000000852
417,11,-1476.8118,Cr,0.9139040000000024
902,2,-842.2135,Ru,0.9187445000000024
749,3,-820.70506,O,0.9192995500000052
1302,4,-245.78423,O,0.9298195499999906
1030,6,-629.24713,Br,0.9313874250000254
417,10,-1476.7838,Cr,0.9419040000000224
1113,2,-916.93807,Ag,0.9428686666666408
19,1,-686.69553,Ag,0.9504486666667162
591,1,-688.45877,Zn,0.9513963000000558
1115,2,-1220.8845,Ag,0.9564486666668016
453,8,-1573.4535,Ag,0.9651486666666642
453,6,-1573.4489,Ag,0.9697486666666464
453,7,-1573.433,Ag,0.985648666666748
1115,3,-1220.8523,Ag,0.988648666666677
406,9,-449.54663,O,0.9961495499999842
545,2,-1068.8236,Mo,0.9962410000000546
1,1,-995.40539,Ag,1.0108886666666876
406,10,-449.53036,O,1.0124195500000042
1117,3,-1220.5139,Ag,1.01824866666675
1045,6,-669.04768,Cl,1.0194921499999057
1045,8,-669.04179,Cl,1.0253821499999276
1045,5,-669.03786,Cl,1.029312149999896
1022,2,-606.23014,Cl,1.0439621499999705
401,2,-948.47192,Al,1.0474136999999928
283,2,-1298.6875,Sn,1.0519594500001404
507,2,-826.97891,Ag,1.052698666666629
1290,2,-985.3421,Sr,1.0541220999999723
24,2,-1012.3692,Ag,1.0576486666667506
35,2,-815.06686,Ag,1.0635486666666338
1045,7,-669.00324,Cl,1.063932149999914
454,2,-1565.9637,Ag,1.0734486666667635
1114,2,-1028.8292,Ag,1.0762486666667428
452,3,-1566.5311,Ag,1.0846486666666806
454,3,-1565.9418,Ag,1.0953486666667231
647,1,-708.09843,Cu,1.0957425000000285
3,2,-433.42781,Ag,1.0960386666666295
623,3,-455.85216,O,1.09743954999999
18,2,-690.29065,Ag,1.099028666666641
29,1,-1006.3787,Ag,1.099948666666705
1116,2,-1228.8343,Ag,1.1032486666667864
453,5,-1573.3134,Ag,1.1052486666667392
1171,3,-488.13426,O,1.1058695500000226
1116,3,-1228.8303,Ag,1.107248666666692
1111,4,-1228.5908,Ag,1.113648666666677
349,3,-1216.1816,Ag,1.1159486666667815
1129,2,-738.59299,Ru,1.11900449999996
18,1,-690.26866,Ag,1.121018666666714
1111,5,-1228.58,Ag,1.1244486666666944
1111,3,-1228.577,Ag,1.1274486666666237
17,1,-691.06993,Ag,1.1447386666667398
1023,2,-810.16869,Cl,1.150772149999966
1024,2,-617.57645,Cl,1.1508621499999665
30,9,-1330.5338,Ag,1.1512486666667885
629,3,-438.79019,O,1.162269550000019
451,6,-1550.9773,Ag,1.162448666666705
496,5,-777.01242,H,1.1672882999999956
3,1,-433.33579,Ag,1.1880586666666773
13,2,-1322.1539,Ag,1.190848666666625
486,2,-773.70592,Cu,1.1923725000000331
2,4,-1316.3815,Ag,1.194548666666833
773,3,-491.62729,O,1.1979795499999568
2,6,-1316.3773,Ag,1.1987486666666882
35,1,-814.92422,Ag,1.2061886666666624
837,1,-1274.1222,Li,1.2084734333332108
13,1,-1322.1311,Ag,1.213648666666586
34,2,-813.59504,Ag,1.2200486666666848
15,1,-1321.9935,Ag,1.2202486666667482
1161,3,-530.40328,O,1.2256295500000078
11,1,-642.70616,Ag,1.2286286666667363
34,1,-813.56437,Ag,1.2507186666666712
262,2,-940.00106,Ru,1.2522644999999102
451,7,-1550.8863,Ag,1.2534486666668272
451,8,-1550.8845,Ag,1.25524866666683
86,2,-1040.1858,Pd,1.255853800000068
759,3,-541.79349,O,1.269079550000015
2,3,-1316.3031,Ag,1.2729486666667071
6,1,-463.0735,Ag,1.282388666666634
33,1,-815.37635,Ag,1.287588666666693
484,2,-514.97,Cu,1.304392499999949
24,1,-1012.1205,Ag,1.306348666666736
1030,16,-628.79825,O,1.3070295500000384
635,1,-454.10423,Cs,1.3081597931034707
451,5,-1550.8287,Ag,1.311048666666693
31,2,-1334.1937,Ag,1.314048666666622
28,1,-443.21187,Ag,1.3242086666666637
2,1,-1316.2514,Ag,1.3246486666666897
318,3,-648.68335,O,1.3310795500000268
317,3,-392.22605,O,1.33185954999999
1020,2,-1348.1963,H,1.3329182999998466
33,2,-815.32468,Ag,1.3392586666667512
1128,2,-631.06655,Pd,1.3619037999999364
674,2,-702.63062,Ag,1.375848666666684
2,5,-1316.1936,Ag,1.3824486666667326
901,2,-759.62495,Rh,1.3833905000000186
1030,14,-628.71936,O,1.3859195500000396
31,3,-1334.1092,Ag,1.3985486666665563
8,1,-475.76654,Ag,1.4015386666666243
2,2,-1316.1704,Ag,1.4056486666668206
836,3,-708.11459,O,1.4273495500000308
1137,3,-494.86441,N,1.4293909999999528
664,2,-596.5274,Pd,1.445853800000009
495,5,-792.34391,H,1.448908299999971
1309,2,-842.17194,Sb,1.4513073000000531
496,6,-776.70476,H,1.474948300000051
30,12,-1330.2101,Ag,1.474948666666705
1306,2,-944.47631,Ru,1.4778645000000097
386,1,-871.83574,Cr,1.4862040000000434
1154,3,-801.40677,O,1.4973995499999546
498,2,-1132.3079,N,1.5117510000000038
1176,14,-1383.0454,O,1.5165195500001118
394,3,-493.79155,O,1.5373595500000192
78,2,-1278.694,Mo,1.539841000000024
385,2,-962.20997,Mo,1.5454610000000455
233,3,-992.95101,O,1.5544895500000848
1147,3,-609.62124,O,1.5546195500000977
31,1,-1333.9442,Ag,1.5635486666667475
546,1,-1164.1597,Y,1.5737833333334947
622,2,-343.70624,I,1.574863999999991
393,3,-617.59394,O,1.5760895500001195
30,2,-1330.1075,Ag,1.5775486666666438
616,2,-941.50945,Ni,1.5836852999999564
1227,1,-1056.8661,Sc,1.5844500000000608
25,1,-754.44307,Ag,1.5865286666667089
130,2,-443.51701,Cl,1.6074921499999846
479,10,-1367.5473,O,1.608619550000185
30,7,-1330.0709,Ag,1.6141486666667788
30,10,-1330.0698,Ag,1.61524866666673
480,3,-1362.6434,V,1.6157872000001134
350,2,-1230.8465,Ag,1.6189486666664834
737,3,-608.18356,O,1.6216995500000166
36,2,-767.75005,Ag,1.627948666666725
818,3,-535.94336,O,1.6281995500000903
552,2,-1196.2328,Sb,1.6294772999999625
563,2,-911.83603,Sn,1.6411794499999814
1030,7,-628.53576,Br,1.6427574250000134
816,5,-622.25057,O,1.6499795500000118
14,1,-880.30937,Ag,1.653988666666805
30,1,-1330.0143,Ag,1.6707486666666682
980,2,-416.43087,Cl,1.6796121499999686
30,11,-1329.998,Ag,1.6870486666666693
744,3,-515.40998,O,1.6881395500000735
129,2,-384.58224,Cl,1.6950921499999936
555,1,-912.24099,Y,1.698223333333317
165,2,-948.17515,Ru,1.6984844999999495
716,2,-769.16306,N,1.704800999999975
1288,1,-1135.5729,Sr,1.7100021000001109
543,3,-1070.1041,Mo,1.7127409999998235
685,2,-807.95323,Rh,1.7169005000000652
30,5,-1329.9648,Ag,1.7202486666667482
30,4,-1329.9509,Ag,1.7341486666666697
479,9,-1367.4213,O,1.734619550000161
30,6,-1329.9504,Ag,1.7346486666667715
32,2,-876.19356,Ag,1.7434786666666469
1030,8,-628.43447,Br,1.7440474249999625
705,1,-876.53343,Ga,1.759817000000112
497,2,-1130.3162,N,1.7621509999999034
718,1,-728.43929,In,1.7687806333333356
30,8,-1329.9156,Ag,1.7694486666666762
1032,3,-645.21557,Br,1.7734674250000353
1034,7,-645.22678,Br,1.77347742500001
233,4,-992.73123,O,1.7742695500000991
1034,5,-645.22455,Br,1.7757074249999505
1034,6,-645.22424,Br,1.7760174249999636
1034,8,-645.22116,Br,1.779097424999918
1110,3,-551.44197,O,1.7844495500000903
391,3,-605.31306,O,1.7938195500000802
1040,4,-315.97465,Cl,1.794402150000053
418,2,-896.6263,Cu,1.7944625000000087
504,3,-838.35604,O,1.7969595499999969
348,2,-612.76546,Ag,1.8021686666667165
479,20,-1367.347,O,1.8089195500001551
1038,3,-505.94948,O,1.8134895499999857
40,2,-650.54887,Ag,1.8184286666667049
1154,1,-801.91547,Rb,1.8203593374998943
562,3,-913.82188,Sn,1.827429450000068
346,1,-1057.254,Cd,1.842517399999906
1052,2,-434.76287,I,1.845583999999974
749,1,-820.45903,K,1.8488715500000128
290,1,-904.83951,Ca,1.86574870000004
1032,4,-645.11716,Br,1.8718774249999797
131,3,-900.71944,Cl,1.886722149999969
7,1,-1520.6169,Ag,1.890348666666796
877,1,-737.51515,Mg,1.9032456999999567
589,1,-1142.7077,Zn,1.9038963000000424
129,3,-384.25158,O,1.9186295499999917
208,1,-877.90737,Be,1.9292554999999536
902,1,-849.26039,Mg,1.9356356999999207
1324,2,-1011.8933,Tc,1.9375459999999975
1152,3,-512.36469,O,1.9554195500001017
1336,3,-1004.2081,O,1.9736195500000804
1255,3,-1467.7801,O,1.9743195500000184
1030,18,-628.12671,O,1.9785695500000884
1304,2,-576.68856,Ru,1.978834499999948
16,4,-879.75831,Ag,1.9796286666665992
815,3,-694.61989,O,1.981459549999954
26,1,-774.24888,Ag,1.9868886666666867
464,6,-1663.9907,Cr,1.9939039999999295
624,3,-590.207,O,1.9939195500001008
1193,3,-541.65442,O,2.011339550000116
16,3,-879.71401,Ag,2.0239286666666203
16,2,-879.70798,Ag,2.02995866666663
290,4,-904.99193,O,2.0395595500000354
817,3,-694.44116,O,2.049029550000114
16,6,-879.68123,Ag,2.0567086666666228
332,1,-704.8736,Cd,2.057217400000013
1057,1,-1027.5307,Na,2.0616280344827373
1135,1,-833.58888,Ni,2.0655852999999524
1039,8,-679.99025,Cl,2.066642150000007
363,3,-772.63715,O,2.0727295500000764
202,3,-652.69268,O,2.073159550000014
1244,2,-840.95583,As,2.075238000000013
16,5,-879.66198,Ag,2.075958666666679
1052,4,-434.43098,O,2.079969550000044
619,2,-934.87189,Zn,2.082446300000015
12,1,-884.8211,Ag,2.0859486666666953
809,3,-553.7454,O,2.0894195500000023
1308,2,-510.60988,Ru,2.1057445000000143
14,3,-879.85728,Ag,2.1060786666668037
1136,2,-503.5378,N,2.108581000000015
14,4,-879.85465,Ag,2.1087086666667574
16,1,-879.62576,Ag,2.1121786666666367
68,1,-780.65229,Al,2.118513699999994
1037,3,-627.11665,O,2.121119550000003
784,5,-436.50771,O,2.122219550000011
147,3,-690.16808,O,2.123329549999994
258,2,-858.19001,Rh,2.125150500000018
1142,1,-978.39031,Pd,2.125433799999996
1348,1,-949.79911,Tc,2.127516000000014
1029,3,-676.49959,O,2.1330495500000097
14,2,-879.82988,Ag,2.133478666666747
1188,3,-616.54349,O,2.1354795500000137
99,1,-760.12486,Al,2.135963699999934
591,2,-680.99437,Rh,2.1391704999999774
1044,2,-659.06523,Cl,2.1428821499998776
456,3,-843.64266,O,2.14655955000012
1040,5,-315.51394,O,2.147989550000034
400,1,-1239.5979,Ti,2.1498313333333954
1275,3,-690.81639,O,2.154099550000069
801,3,-616.03777,O,2.160409550000054
332,2,-698.1222,Rh,2.172670499999981
1232,1,-1018.4757,Si,2.184926500000074
641,3,-617.24195,O,2.1872595500001353
1047,1,-831.9138,Na,2.193998034482661
837,2,-1266.8875,N,2.20675099999994
743,3,-643.0691,O,2.2148595500000283
202,2,-651.51504,Cu,2.214862499999981
479,17,-1366.9383,O,2.217619550000109
464,7,-1663.7616,Cr,2.2230039999999462
1151,3,-640.88606,O,2.2343395499999588
834,3,-629.66117,O,2.2363495500001136
199,2,-664.8334,Ag,2.2377786666667134
1141,1,-650.33342,Pd,2.2391737999998895
952,3,-914.27192,O,2.249179550000008
333,2,-780.25636,Ru,2.2566245000000436
575,1,-721.16137,Zn,2.2568162999999686
1100,3,-621.41548,O,2.2587095500000487
710,1,-710.7516,Ge,2.259610799999905
699,1,-746.70699,Ga,2.260577000000012
1021,3,-447.4947,O,2.266809549999948
1039,5,-679.78638,Cl,2.270512149999945
1039,6,-679.77345,Cl,2.283442149999928
862,1,-941.6601,Li,2.284013433333257
26,3,-771.52234,Pd,2.285033799999951
645,3,-1300.795,O,2.28531954999994
55,1,-873.28646,Al,2.291583699999933
1039,7,-679.76324,Cl,2.293652149999957
1208,2,-835.24885,Cu,2.309302500000058
654,1,-636.53248,Cu,2.3170225000000073
158,1,-1140.5746,Ba,2.3204455000002326
899,2,-972.72784,Mo,2.3294009999999616
1143,3,-534.48627,O,2.335579550000034
412,3,-664.83264,O,2.3358495500000345
1023,1,-802.45173,N,2.345340999999962
625,1,-977.70269,Cs,2.3588197931034074
1056,3,-626.54037,O,2.3637895499999786
622,1,-343.80223,Cs,2.367789793103441
1025,3,-535.615,O,2.3701595500000394
738,3,-655.07423,O,2.373439550000058
730,3,-543.31082,O,2.3776295500000515
523,4,-909.80905,O,2.3777695500001528
210,3,-667.34282,O,2.3802695500000937
464,5,-1663.602,Cr,2.382603999999901
1148,3,-631.90182,O,2.419849549999981
286,3,-699.04342,O,2.422229550000111
629,1,-438.51314,Cs,2.425739793103446
718,2,-725.73679,As,2.4319379999999455
1301,2,-510.31033,Ru,2.4360644999999295
1155,3,-540.37207,O,2.443049550000069
199,3,-666.10099,O,2.45035955000003
417,12,-1475.2726,Cr,2.4531039999999393
1296,2,-863.75163,Rh,2.456220499999972
681,2,-753.24355,C,2.4638172500000337
479,18,-1366.6735,O,2.482419550000031
417,7,-1475.2424,Cr,2.483303999999862
715,3,-459.61525,O,2.4961395500000094
465,3,-1664.0496,V,2.4969872000001487
561,2,-1218.4284,Sn,2.504359450000038
760,3,-629.848,O,2.5050195500000427
252,6,-1286.9448,Mo,2.508540999999923
371,1,-696.06406,Co,2.518498449999925
201,3,-670.45532,O,2.5296795500000826
1054,3,-630.38875,O,2.531119550000085
40,4,-651.31494,O,2.5325295500000493
1162,3,-620.07104,O,2.5420795500000395
623,1,-455.3887,Cs,2.5473197931034974
1164,1,-1007.5951,Rb,2.5600793374999284
163,2,-870.01368,Rh,2.562930499999993
196,3,-702.56962,O,2.5697295500000337
373,3,-775.28732,O,2.57201955000005
480,10,-1366.2141,O,2.580019550000088
306,3,-1006.4206,O,2.5818195499999774
1235,2,-915.82887,Sn,2.5874094499999956
315,9,-940.63306,O,2.603429550000101
581,3,-536.8327,O,2.6247295499999836
685,1,-810.23232,Fe,2.627614900000026
1288,2,-1125.5688,Nb,2.6332360000001245
131,4,-899.96548,Cl,2.640682149999975
467,4,-1666.4844,Cr,2.65750399999979
1101,1,-936.16266,Na,2.6657880344827163
479,19,-1366.4866,O,2.669319550000182
234,4,-1027.8136,O,2.669319550000182
762,1,-1025.5247,K,2.6731615500000316
1123,5,-1901.6693,H,2.687518299999965
758,3,-640.65575,O,2.689869550000026
851,3,-603.45724,O,2.69209955000008
1083,3,-595.25562,O,2.693519550000019
532,2,-914.69502,Cu,2.700672499999996
1196,2,-914.10083,H,2.703068300000041
1123,6,-1901.653,H,2.7038182999999663
1267,16,-940.27325,O,2.704329550000125
566,2,-1157.908,Ti,2.704531333333307
1307,2,-1131.2359,Ru,2.705614500000138
554,2,-899.90049,Sb,2.7068872999999485
469,5,-1656.3379,Cr,2.7075039999999717
1125,2,-662.9982,As,2.719667999999956
601,1,-681.84092,Zn,2.722396300000014
495,8,-791.06409,H,2.728728300000057
1305,2,-1131.5759,Ru,2.729614500000025
651,2,-851.51027,Cu,2.737802500000043
1267,17,-940.22312,O,2.7544595500000923
642,3,-665.43086,O,2.755259550000005
697,1,-774.8992,Ga,2.7555770000001303
585,1,-637.9409,Zn,2.756576300000006
231,2,-1447.3014,C,2.7570772500000658
1267,18,-940.22008,O,2.757499550000034
32,1,-875.17431,Ag,2.7627286666667032
1267,19,-940.20767,O,2.769909550000079
1160,3,-634.09707,O,2.7727895499999704
482,16,-1362.4242,O,2.772919550000097
479,15,-1366.3825,O,2.773419550000199
1268,6,-940.08064,O,2.7773295499999904
481,14,-1368.0733,O,2.7831195500000376
963,2,-855.86419,Al,2.784763699999985
132,2,-812.4337,Co,2.784848449999913
469,6,-1656.2535,Cr,2.7919039999999313
1109,4,-491.67326,O,2.7933195499999783
1030,15,-627.30925,O,2.796029550000071
727,2,-952.73386,Rh,2.798250499999994
1109,5,-491.66471,O,2.801869549999992
1295,2,-774.94068,Pd,2.8022337999999536
131,9,-899.68978,O,2.809259549999979
1030,12,-627.29517,O,2.8101095500001065
957,3,-609.28635,O,2.810629550000044
651,4,-851.43425,Cu,2.8138225000000148
634,3,-624.26491,O,2.8150295500000766
203,2,-724.1447,Ga,2.825787000000105
1197,2,-915.68164,H,2.829858300000069
479,11,-1366.3257,O,2.830219550000038
389,3,-668.91512,O,2.8347395500001085
481,15,-1368.0162,O,2.840219550000029
1158,4,-309.21524,O,2.842169549999994
